Epoch	ACC_Train	ACC_Val	ACC_Test_Seen	ACC_Test_Unseen	P_Train	P_Val	P_Test_Seen	P_Test_Unseen	R_Train	R_Val	R_Test_Seen	R_Test_Unseen	F1_Train	F1_Val	F1_Test_Seen	F1_Test_Unseen	AUC_Train	AUC_Val	AUC_Test_Seen	AUC_Test_Unseen	MCC_Train	MCC_Val	MCC_Test_Seen	MCC_Test_Unseen
36	36	[0.8016905943915202, 0.785829307568438, 0.8043478260869565, 0.7800483410239508, 0.8080099458307433, 0.7732919254658385, 0.7837037037037037, 0.7187222715173026, 0.8001934746284408, 0.8058252427184466, 0.8450479233226837, 0.8152994464016105, 0.804082714740191, 0.7892234548335975, 0.8132205995388163, 0.7639707616128272, 0.8856165016499958, 0.8758168409260643, 0.8869548981370068, 0.8556634112370031, 0.6033608691820365, 0.5722368262080414, 0.6103270807208732, 0.5634708114880618]
37	37	[0.8073259090299209, 0.7898550724637681, 0.8083735909822867, 0.7820259283673918, 0.813715910100382, 0.784688995215311, 0.7886904761904762, 0.7266514806378133, 0.8055579984170258, 0.7961165048543689, 0.8466453674121406, 0.8027176648213387, 0.8096164044546581, 0.7903614457831325, 0.8166409861325116, 0.7627929220468677, 0.8889652952284082, 0.879963281055514, 0.8938529521596614, 0.8541347542175466, 0.6146380179266764, 0.5797906483662209, 0.6181941836531823, 0.5644722658261321]
38	38	[0.8073259090299209, 0.7938808373590982, 0.8083735909822867, 0.7853219072731268, 0.810516134705003, 0.802675585284281, 0.803125, 0.7379830348727615, 0.8106586931668279, 0.7766990291262136, 0.8210862619808307, 0.7881227981882235, 0.8105874076679563, 0.7894736842105263, 0.8120063191153238, 0.7622292528595765, 0.8912080061308477, 0.8800358891378309, 0.8913037840753495, 0.853613817426376, 0.614537543465432, 0.5879930341887384, 0.6168095893158047, 0.5679577761217556]
39	39	[0.8117089315264546, 0.7938808373590982, 0.8019323671497585, 0.7791694133157547, 0.8182383788107723, 0.8088737201365188, 0.8094462540716613, 0.7356046065259118, 0.8096033770116964, 0.7669902912621359, 0.7939297124600639, 0.7715148465022648, 0.8138979754221554, 0.7873754152823921, 0.8016129032258066, 0.7531319086219602, 0.8937659168609742, 0.8845324039498798, 0.8925718849840254, 0.8523080404846793, 0.6234125251426754, 0.5884315847288386, 0.6040134441364234, 0.5540901035873442]
40	40	[0.8131848472650834, 0.7922705314009661, 0.8107890499194848, 0.7848824434190288, 0.8195061289749511, 0.8169014084507042, 0.8148148148148148, 0.7465753424657534, 0.8113622372702489, 0.7508090614886731, 0.8083067092651757, 0.7679919476597886, 0.815413849485174, 0.7824620573355817, 0.8115477145148355, 0.7571322252542793, 0.8965089657213374, 0.8806504646917269, 0.8937673747977263, 0.8546574575615135, 0.6263567539654177, 0.5862746864482852, 0.6215982483813578, 0.5643246698753223]
41	41	[0.8127376000715596, 0.7938808373590982, 0.8059581320450886, 0.7840035157108328, 0.8193456614509246, 0.7882165605095541, 0.7938931297709924, 0.7313364055299539, 0.8104828071409726, 0.8009708737864077, 0.8306709265175719, 0.7986914947156517, 0.814890136610814, 0.7945425361155699, 0.8118657298985168, 0.7635313928313688, 0.8950516672404145, 0.8851651315243549, 0.8967988880129454, 0.857935590699924, 0.6254737526809206, 0.5878603370872725, 0.6124138374306831, 0.5673120774049327]
42	42	[0.8149291113198265, 0.7946859903381642, 0.8059581320450886, 0.7859811030542738, 0.8209246605732541, 0.8050420168067227, 0.8070175438596491, 0.7406175771971496, 0.8135608125934395, 0.7750809061488673, 0.8083067092651757, 0.7845998993457474, 0.8172261484098939, 0.7897774113767518, 0.8076616121308858, 0.7619745845552297, 0.8979447026372052, 0.8845142519293004, 0.8963761877100533, 0.8572462425422029, 0.6298336792664817, 0.5896936663704162, 0.6118868651761308, 0.5686367511730992]
43	43	[0.8155999821101123, 0.7946859903381642, 0.7946859903381642, 0.7809272687321468, 0.8220760753643797, 0.8342541436464088, 0.8192771084337349, 0.7737831858407079, 0.8134728695805118, 0.7330097087378641, 0.7603833865814696, 0.704076497232008, 0.8177518454670026, 0.780361757105943, 0.7887323943661972, 0.7372859025032937, 0.8990952650450983, 0.884210853871048, 0.8958653167918342, 0.8549004567127829, 0.6311947586212157, 0.5934720860099479, 0.5911372892426201, 0.5519397311219767]
44	44	[0.8122456281586833, 0.7971014492753623, 0.8091787439613527, 0.7844429795649308, 0.8196808984758, 0.8177083333333334, 0.8225538971807629, 0.7561099796334012, 0.8087239468824202, 0.7621359223300971, 0.792332268370607, 0.7473578258681429, 0.8141655599822931, 0.7889447236180904, 0.807160292921074, 0.7517084282460137, 0.8983398579344174, 0.8885803045390425, 0.8978232231027758, 0.8574994484429604, 0.6245262625394198, 0.5954251073015585, 0.6188709471297603, 0.5613010707751199]
45	45	[0.8168075495326267, 0.7938808373590982, 0.8043478260869565, 0.7864205669083718, 0.8256199086921493, 0.8175438596491228, 0.8175787728026535, 0.764736567553469, 0.8110984082314661, 0.7540453074433657, 0.7875399361022364, 0.7377956718671363, 0.8182947387099636, 0.7845117845117845, 0.8022782750203418, 0.7510245901639343, 0.9010201189410842, 0.8853933283544932, 0.8965680884610597, 0.8563900532870836, 0.6337212868992876, 0.5893626613509223, 0.6092047367580815, 0.5644129634317999]
